"","Temp","Ni1size","Ni2size","Ni3size","Ni4size","Ni5size","Ni6size"
"64",3,-2.87336629050571,-2.87336629050571,-2.87336629050571,-2.87336629050571,-2.87336629050571,-2.87336629050571
"65",4,-2.90244451916993,-2.90244451916993,-2.90244451916993,-2.90244451916993,-2.90244451916993,-2.90244451916993
"66",5,-2.92264462750996,-2.92264462750996,-2.92264462750996,-2.92264462750996,-2.92264462750996,-2.92264462750996
"67",0,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276
"68",1,-2.50082314296394,-2.50082314296394,-2.50082314296394,-2.50082314296394,-2.50082314296394,-2.50082314296394
"69",2,-2.56623770497478,-2.56623770497478,-2.56623770497478,-2.56623770497478,-2.56623770497478,-2.56623770497478
"70",3,-2.60290252853358,-2.60290252853358,-2.60290252853358,-2.60290252853358,-2.60290252853358,-2.60290252853358
"71",4,-2.6185536638166,-2.6185536638166,-2.6185536638166,-2.6185536638166,-2.6185536638166,-2.6185536638166
"72",5,-2.62006289973045,-2.62006289973045,-2.62006289973045,-2.62006289973045,-2.62006289973045,-2.62006289973045
"73",0,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732
"74",1,-3.52807690842821,-3.52807690842821,-3.52807690842821,-3.52807690842821,-3.52807690842821,-3.52807690842821
"75",2,-3.59985368177228,-3.59985368177228,-3.59985368177228,-3.59985368177228,-3.59985368177228,-3.59985368177228
"76",3,-3.65914558478924,-3.65914558478924,-3.65914558478924,-3.65914558478924,-3.65914558478924,-3.65914558478924
"77",4,-3.70959517918373,-3.70959517918373,-3.70959517918373,-3.70959517918373,-3.70959517918373,-3.70959517918373
"78",5,-3.75360223897188,-3.75360223897188,-3.75360223897188,-3.75360223897188,-3.75360223897188,-3.75360223897188
"79",0,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761
"80",1,-2.95111002886416,-2.95111002886416,-2.95111002886416,-2.95111002886416,-2.95111002886416,-2.95111002886416
"81",2,-3.02099301349485,-3.02099301349485,-3.02099301349485,-3.02099301349485,-3.02099301349485,-3.02099301349485
"82",3,-3.0764127664364,-3.0764127664364,-3.0764127664364,-3.0764127664364,-3.0764127664364,-3.0764127664364
"83",4,-3.12205193298911,-3.12205193298911,-3.12205193298911,-3.12205193298911,-3.12205193298911,-3.12205193298911
"84",5,-3.16099796135722,-3.16099796135722,-3.16099796135722,-3.16099796135722,-3.16099796135722,-3.16099796135722
"85",0,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447
"86",1,-2.76909484610537,-2.76909484610537,-2.76909484610537,-2.76909484610537,-2.76909484610537,-2.76909484610537
"87",2,-2.83600219663651,-2.83600219663651,-2.83600219663651,-2.83600219663651,-2.83600219663651,-2.83600219663651
"88",3,-2.88280500352955,-2.88280500352955,-2.88280500352955,-2.88280500352955,-2.88280500352955,-2.88280500352955
