"","tempvect","nichevect","Div","Pruned_Prot"
"483",2,-3.98035018907018,"4",2
"484",3,-4.00855305491213,"4",2
"485",4,-4.03085924963966,"4",2
"486",5,-4.04892741677888,"4",2
"487",0,-3.92900049622653,"3",6
"488",1,-3.97659183067172,"3",6
"489",2,-4.01271417960996,"3",6
"490",3,-4.04073008851615,"3",6
"491",4,-4.06298536955859,"3",6
"492",5,-4.08109644151899,"3",6
"493",0,-3.93741768159469,"2",3
"494",1,-3.98479654237603,"2",3
"495",2,-4.02076513675038,"2",3
"496",3,-4.04867463980742,"2",3
"497",4,-4.07086447526886,"2",3
"498",5,-4.08893412119188,"2",3
"499",0,-3.96042775362489,"1",1
"500",1,-4.00732803831806,"1",1
"501",2,-4.04297625239493,"1",1
"502",3,-4.07069636587788,"1",1
"503",4,-4.09279196204296,"1",1
"504",5,-4.1108373456311,"1",1
"505",0,-3.16524677092241,"6",NA
"506",1,-3.21788595262094,"6",NA
"507",2,-3.25801564727827,"6",NA
"508",3,-3.28915723632479,"6",NA
"509",4,-3.31384046795424,"6",NA
"510",5,-3.33385746527408,"6",NA
"511",0,-3.18217080910039,"5",5
"512",1,-3.23447262842223,"5",5
"513",2,-3.27436197299583,"5",5
"514",3,-3.30534965119043,"5",5
"515",4,-3.32995035311414,"5",5
"516",5,-3.34993461622739,"5",5
"517",0,-3.21678816350146,"4",4
"518",1,-3.26853315698542,"4",4
"519",2,-3.30806642775871,"4",4
"520",3,-3.33887870675576,"4",4
"521",4,-3.36344304361613,"4",4
"522",5,-3.38348871291925,"4",4
"523",0,-3.24595561087964,"3",2
"524",1,-3.29716347249982,"3",2
"525",2,-3.33634286063587,"3",2
"526",3,-3.36695996231816,"3",2
"527",4,-3.39145062969665,"3",2
"528",5,-3.4115048336256,"3",2
"529",0,-3.26812788164084,"2",3
"530",1,-3.3188713755237,"2",3
"531",2,-3.35773404752631,"2",3
"532",3,-3.38815961592673,"2",3
"533",4,-3.41255294947507,"2",3
"534",5,-3.43257578871836,"2",3
"535",0,-3.26812788164084,"1",5
"536",1,-3.3188713755237,"1",5
"537",2,-3.35773404752631,"1",5
"538",3,-3.38815961592673,"1",5
"539",4,-3.41255294947507,"1",5
"540",5,-3.43257578871836,"1",5
"541",0,-3.88767919778494,"6",NA
"542",1,-3.93669155941455,"6",NA
"543",2,-3.97372495825723,"6",NA
"544",3,-4.00220286365448,"6",NA
"545",4,-4.02457737124818,"6",NA
"546",5,-4.04257125476186,"6",NA
"547",0,-3.89812318927109,"5",2
"548",1,-3.94690781348077,"5",2
"549",2,-3.98377475701255,"5",2
"550",3,-4.01214207315838,"5",2
"551",4,-4.03444974263314,"5",2
"552",5,-4.05240848385493,"5",2
"553",0,-3.93369806366286,"4",1
"554",1,-3.98192803038894,"4",1
"555",2,-4.01844682647084,"4",1
"556",3,-4.04665045820208,"4",1
"557",4,-4.06893683906859,"4",1
"558",5,-4.08697132403247,"4",1
"559",0,-3.96583178402551,"3",3
"560",1,-4.01350017504741,"3",3
"561",2,-4.04965898770736,"3",3
"562",3,-4.07767627714889,"3",3
"563",4,-4.09990726566811,"3",3
"564",5,-4.11797755757751,"3",3
"565",0,-3.98401029933007,"2",4
"566",1,-4.03128067037387,"2",4
"567",2,-4.06716409738489,"2",4
"568",3,-4.09500731229198,"2",4
"569",4,-4.11714541030082,"2",4
"570",5,-4.13517418982885,"2",4
"571",0,-3.98401029933007,"1",1
"572",1,-4.03128067037387,"1",1
"573",2,-4.06716409738489,"1",1
"574",3,-4.09500731229198,"1",1
"575",4,-4.11714541030082,"1",1
"576",5,-4.13517418982885,"1",1
"577",0,-3.37509603220662,"6",NA
"578",1,-3.42600642361887,"6",NA
"579",2,-3.4645842459608,"6",NA
"580",3,-3.49431005537481,"6",NA
"581",4,-3.51769251116238,"6",NA
"582",5,-3.53650924441634,"6",NA
"583",0,-3.39236723584232,"5",5
"584",1,-3.44295077269073,"5",5
"585",2,-3.48129634211836,"5",5
"586",3,-3.51087813019316,"5",5
"587",4,-3.53418641471041,"5",5
"588",5,-3.55297956240033,"5",5
"589",0,-3.41824478815272,"4",4
"590",1,-3.46838408833344,"4",4
"591",2,-3.50643263526029,"4",4
"592",3,-3.53584910854358,"4",4
"593",4,-3.55909711320788,"4",4
"594",5,-3.57790373468604,"4",4
"595",0,-3.45594973411434,"3",6
"596",1,-3.50550637555391,"3",6
"597",2,-3.54319551379386,"3",6
"598",3,-3.57245010616928,"3",6
"599",4,-3.5956878226032,"3",6
"600",5,-3.61458716913436,"3",6
"601",0,-3.48793520243142,"2",1
"602",1,-3.53692108407149,"2",1
"603",2,-3.57424495338686,"2",1
"604",3,-3.60330935325461,"2",1
"605",4,-3.62648841542182,"2",1
"606",5,-3.64541995667705,"2",1
"607",0,-Inf,"1",2
"608",1,-Inf,"1",2
"609",2,-Inf,"1",2
"610",3,-Inf,"1",2
"611",4,-Inf,"1",2
"612",5,-Inf,"1",2
"613",0,-3.17395732788847,"6",NA
"614",1,-3.22646270235599,"6",NA
"615",2,-3.26638730018538,"6",NA
"616",3,-3.29724877381922,"6",NA
"617",4,-3.32159808097154,"6",NA
"618",5,-3.34124381110626,"6",NA
"619",0,-3.1938352595917,"5",4
"620",1,-3.24598501381105,"5",4
"621",2,-3.2856598962557,"5",4
"622",3,-3.31637293403405,"5",4
"623",4,-3.34065077791447,"5",4
"624",5,-3.36028395433728,"5",4
"625",0,-3.21895934791324,"4",5
"626",1,-3.27067780218446,"4",5
"627",2,-3.31006230550474,"4",5
"628",3,-3.34061188270202,"4",5
"629",4,-3.36482854250553,"4",5
"630",5,-3.38447257685708,"4",5
"631",0,-3.25783382680959,"3",2
"632",1,-3.30896704121703,"3",2
"633",2,-3.34799272502198,"3",2
"634",3,-3.37838578431454,"3",2
"635",4,-3.40260228585586,"3",2
"636",5,-3.42235229684631,"3",2
"637",0,-3.28918131846059,"2",1
"638",1,-3.33975348106813,"2",1
"639",2,-3.3784174786638,"2",1
"640",3,-3.40862006403834,"2",1
"641",4,-3.43277525684387,"2",1
"642",5,-3.45255444906046,"2",1
"643",0,-3.3142858547842,"1",3
"644",1,-3.36435050422597,"1",3
"645",2,-3.40267632181585,"1",3
"646",3,-3.43268044129514,"1",3
"647",4,-3.45674791850975,"1",3
"648",5,-3.47650939387055,"1",3
"649",0,-3.76410875609621,"6",NA
"650",1,-3.81314653528757,"6",NA
"651",2,-3.8503104219881,"6",NA
"652",3,-3.87902063291239,"6",NA
"653",4,-3.90170426642562,"6",NA
"654",5,-3.92005628518099,"6",NA
"655",0,-3.79033464799476,"5",2
"656",1,-3.83888121577502,"5",2
"657",2,-3.87571350204776,"5",2
"658",3,-3.90423272820331,"5",2
"659",4,-3.92683351490564,"5",2
"660",5,-3.94517645840874,"5",2
"661",0,-3.81258472825903,"4",4
"662",1,-3.86067582957517,"4",4
"663",2,-3.89719665464368,"4",4
"664",3,-3.92552756303158,"4",4
"665",4,-3.94803319059697,"4",4
"666",5,-3.96634638356349,"4",4
"667",0,-3.82449196430561,"3",6
"668",1,-3.8722968186874,"3",6
"669",2,-3.90861266998512,"3",6
"670",3,-3.93680721411982,"3",6
"671",4,-3.95922822966386,"3",6
"672",5,-3.97749292665778,"3",6
"673",0,-3.84167331490938,"2",1
"674",1,-3.88909095339778,"2",1
"675",2,-3.92513783555767,"2",1
"676",3,-3.95316003720128,"2",1
"677",4,-3.97548638162655,"2",1
"678",5,-3.99370492317015,"2",1
"679",0,-3.84167331490938,"1",4
"680",1,-3.88909095339778,"1",4
"681",2,-3.92513783555767,"1",4
"682",3,-3.95316003720128,"1",4
"683",4,-3.97548638162655,"1",4
"684",5,-3.99370492317015,"1",4
"685",0,-3.57959691102916,"6",NA
"686",1,-3.62941473303997,"6",NA
"687",2,-3.66712699160747,"6",NA
"688",3,-3.69618379558053,"6",NA
"689",4,-3.71905489550952,"6",NA
"690",5,-3.73747977223427,"6",NA
